node,polarity,fan_size
654,pro_vaccines,1510
655,pro_vaccines,3170
657,pro_vaccines,25132
663,pro_vaccines,414
666,pro_vaccines,1113
671,pro_vaccines,20449
672,pro_vaccines,2429
673,pro_vaccines,3098
674,pro_vaccines,999
675,pro_vaccines,1409579
676,pro_vaccines,407
687,pro_vaccines,7984
688,pro_vaccines,4107
692,pro_vaccines,3522
693,pro_vaccines,948
695,pro_vaccines,603
696,pro_vaccines,585
697,pro_vaccines,6789
700,pro_vaccines,230
701,pro_vaccines,614
702,pro_vaccines,1520145
703,pro_vaccines,113
707,pro_vaccines,2809
708,pro_vaccines,36861
709,pro_vaccines,700
717,pro_vaccines,15231
723,pro_vaccines,23269
726,pro_vaccines,474
727,pro_vaccines,72
729,pro_vaccines,1378
737,pro_vaccines,248
740,pro_vaccines,1877
745,pro_vaccines,3797
746,pro_vaccines,4215
750,pro_vaccines,5113
751,pro_vaccines,40733
755,pro_vaccines,237188
756,pro_vaccines,7769
757,pro_vaccines,22471
760,pro_vaccines,172875
761,pro_vaccines,961
763,pro_vaccines,3543
768,pro_vaccines,162
771,pro_vaccines,275
773,pro_vaccines,899
774,pro_vaccines,3621
778,pro_vaccines,70715
781,pro_vaccines,29
785,pro_vaccines,34242
786,pro_vaccines,5711
788,pro_vaccines,758
789,pro_vaccines,275
793,pro_vaccines,3504
794,pro_vaccines,24139
797,pro_vaccines,1383
798,pro_vaccines,1663
801,pro_vaccines,1410
802,pro_vaccines,231768
805,pro_vaccines,25222
806,pro_vaccines,9642
808,pro_vaccines,25471
809,pro_vaccines,927
811,pro_vaccines,735
817,pro_vaccines,315683
820,pro_vaccines,99
822,pro_vaccines,5762
823,pro_vaccines,63629
828,pro_vaccines,2763
833,pro_vaccines,338
836,pro_vaccines,17434
842,pro_vaccines,774
844,pro_vaccines,771
847,pro_vaccines,56
861,pro_vaccines,19312
864,pro_vaccines,364
872,pro_vaccines,149
873,pro_vaccines,6794
874,pro_vaccines,461
876,pro_vaccines,3839
880,pro_vaccines,444
884,pro_vaccines,13594
887,pro_vaccines,325
888,pro_vaccines,894
890,pro_vaccines,5628
892,pro_vaccines,2984
898,pro_vaccines,38826
902,pro_vaccines,299
903,pro_vaccines,314
905,pro_vaccines,623
911,pro_vaccines,323
915,pro_vaccines,95
919,pro_vaccines,513
920,pro_vaccines,11828
925,pro_vaccines,3412
926,pro_vaccines,8852
928,pro_vaccines,54
934,pro_vaccines,2633
937,pro_vaccines,229481
945,pro_vaccines,40272
948,pro_vaccines,546
953,pro_vaccines,3429
956,pro_vaccines,975
958,pro_vaccines,349
960,pro_vaccines,46
963,pro_vaccines,189
967,pro_vaccines,1634
971,pro_vaccines,242
978,pro_vaccines,40451
983,pro_vaccines,7378
992,pro_vaccines,374
993,pro_vaccines,42181
994,pro_vaccines,2505557
997,pro_vaccines,1675758
1000,pro_vaccines,1486
1002,pro_vaccines,73
1006,pro_vaccines,833
1007,pro_vaccines,8857
1014,pro_vaccines,674
1023,pro_vaccines,8308
1029,pro_vaccines,12745
1032,pro_vaccines,2680
1037,pro_vaccines,5178
1038,pro_vaccines,1087
1039,pro_vaccines,11429
1043,pro_vaccines,2684
1045,pro_vaccines,740
1048,pro_vaccines,79767
1052,pro_vaccines,471
1058,pro_vaccines,874
1061,pro_vaccines,797
1062,pro_vaccines,4700
1063,pro_vaccines,428
1068,pro_vaccines,576690
1080,pro_vaccines,835
