source_node,target_node,weight
286,4,26542802
287,361,297928960
287,296,15280167
287,969,67160870
287,123,4459693
287,58,21958657
288,376,2145600
288,882,456192
289,401,2136866
290,642,166765660
290,500,9660770
290,430,8100280
290,371,742690
290,348,5067170
290,341,11090470
290,314,2009700
290,268,13416850
290,212,6495130
290,199,5366160
290,163,6001260
290,901,1058210
290,73,21807130
290,46,340750
292,35,1516648
293,337,9118746
294,642,169065876
294,1267,4622268
294,489,6198990
294,422,341826744
294,1188,1287132
294,1128,4468212
294,1020,1200696
294,997,492672852
294,969,68798940
294,922,2356998
294,147,4484676
294,839,64191960
294,816,2883846
294,813,159289494
294,722,137512326
294,721,27791820
294,699,159240984
295,243,2595115
296,554,3597288
296,1230,1036000
296,408,505272
296,385,2665184
296,349,30382032
296,347,769896
296,338,2565136
296,304,37967624
296,287,980648
296,243,2603912
296,219,40408144
296,167,37141488
296,122,19110648
296,99,4032112
296,825,2761088
296,58,22647256
296,15,116073736
297,1326,134734050
298,381,2573528
300,316,255600
300,1048,23930100
300,920,3548400
303,512,672660
303,500,10093839
303,1207,152409
303,1200,782649
303,422,352290828
303,388,3299670
303,341,11587629
303,314,2099790
303,268,14018295
303,185,421776
303,163,6270282
303,813,164165703
304,296,16185264
304,219,41500256
304,99,4141088
307,425,2852030
307,284,6842109
307,239,3325117
307,144,973190
307,101,3715314
307,43,1490792
307,36,16989380
307,35,1594558
307,30,10011884
307,26,40293136
307,19,1267910
310,412,1590300
310,384,682620
310,785,10615020
311,1286,5260565
313,208,2084267
314,500,10460282
314,341,12008302
314,1094,177069938
314,290,2032208
314,212,7032658
314,73,23611858
315,45,10661175
315,25,1964970
316,300,41080
316,702,480365820
317,344,41186859
317,313,13172935
317,281,1122814
318,422,369730968
318,338,2755788
318,268,14712270
318,198,252397236
324,488,3691980
324,1200,836892
324,422,376707024
324,341,12390732
324,322,10720836
324,203,2261520
324,969,75819240
324,163,6704856
324,54,2807460
324,699,175490064
327,349,33563934
327,295,1657236
328,500,10926664
328,458,438467120
328,422,381357728
328,1161,11626616
328,348,5731144
328,1124,3812016
328,1094,184964776
328,258,107101512
328,123,5096792
328,839,71615520
328,54,2842120
328,721,31005840
329,354,32224892
329,69,113468810
330,496,452760
330,482,889680
330,468,861960
330,464,12154890
330,440,534600
330,435,850080
330,427,1074480
330,421,4759590
330,407,1009800
330,329,56085810
330,286,49743540
330,166,5783910
330,72,964920
330,69,113813700
331,570,341679715
331,534,36879358
331,482,892376
331,462,373368
331,440,536220
331,429,418715
331,427,1077736
331,401,2447414
331,376,2465950
331,367,9999841
331,354,32420788
331,345,12465460
331,289,21812238
331,288,414081
331,286,49894278
331,72,967844
331,69,114158590
331,741,71220277
332,470,556764
332,198,263509064
333,1102,64606329
333,1101,6360633
333,1029,4244085
333,1007,2949381
333,763,1179819
333,756,2587077
333,750,1702629
334,1248,4418152
334,344,43395618
334,833,112892
334,702,507728430
335,421,4831705
336,1178,460320
337,397,1277904
337,259,4764169
337,179,737356
338,642,194368252
338,1329,15865044
338,1311,16035058
338,1308,53592266
338,1286,5717270
338,1272,36358322
338,1230,1183000
338,422,392984488
338,408,576966
338,385,3043352
338,1161,11981086
338,349,34692996
338,1116,713856
338,1115,961610
338,296,17995458
338,1074,8950916
338,243,2973386
338,1024,980200
338,991,2901392
338,969,79095380
338,167,42411564
338,935,10863658
338,922,2709746
338,862,773682
338,839,73798920
338,73,25416586
338,753,474890
338,716,3543930
338,699,183072968
339,570,349937835
339,454,625455
339,343,36785229
339,1128,5152122
339,304,43483191
339,286,51100182
339,1074,8977398
339,240,314931
339,1009,6274212
339,969,79329390
339,138,419343
339,869,1655676
339,839,74017260
339,69,116917710
339,721,32045670
339,4,31461573
340,493,9015440
340,1094,191731780
340,1029,4333300
340,209,78649480
340,778,24043100
340,755,80643920
341,642,196093414
341,535,2857239
341,1249,59423342
341,500,11359733
341,489,7189985
341,1200,880803
341,428,107415
341,422,396472516
341,418,342705
341,388,3713490
341,371,873301
341,348,5958293
341,328,4792414
341,318,96580748
341,314,2363130
341,1094,192295697
341,290,2206952
341,268,15776365
341,258,111346389
341,212,7637377
341,199,6309864
341,198,270652382
341,185,474672
341,969,79797410
341,167,42787998
341,163,7056654
341,147,5201614
341,871,573562
341,123,5298799
341,848,224037
341,813,184754141
341,73,25642177
341,57,390786
341,54,2954765
341,47,307582
341,738,1587355
341,721,32234730
341,702,518369445
341,699,184697876
343,613,76663244
343,570,354066895
343,555,8490279
343,534,38216374
343,533,1582259
343,502,1606269
343,496,470596
343,482,924728
343,468,895916
343,466,57967
343,464,12633719
343,462,386904
343,459,618429
343,450,111034588
343,440,555660
343,435,883568
343,429,433895
343,427,1116808
343,421,4947089
343,409,44590
343,407,1049580
343,403,58310
343,401,2536142
343,400,578641
343,393,80605
343,380,219900044
343,376,2555350
343,374,5826541
343,372,208544
343,367,10362373
343,354,33596164
343,1145,111132
343,345,12917380
343,339,151949
343,1130,1063300
343,331,225008
343,330,2101561
343,329,58295251
343,289,22603014
343,288,429093
343,286,51703134
343,1071,196882
343,237,276458
343,1041,80667769
343,219,46824302
343,209,79343446
343,994,859406051
343,971,83006
343,176,1147335
343,175,1021111
343,169,40883542
343,166,6011761
343,936,160867
343,150,2121112
343,138,424291
343,882,543312
343,99,4672346
343,80,375928
343,72,1002932
343,69,118297270
343,66,5060504694
343,753,481915
343,52,3472532
343,741,73802281
343,705,799876
343,691,714469
343,4,31832801
344,1248,4550432
347,642,199543738
347,1272,37326443
347,1230,1214500
347,296,18474627
347,163,7180818
347,839,75763980
348,642,200118792
348,1278,664332
348,1272,37434012
348,564,1224960
348,560,3117384
348,530,10988448
348,519,1078800
348,505,3249972
348,500,11592924
348,488,3965460
348,485,8994408
348,479,137808
348,477,174348
348,475,421080
348,1200,898884
348,450,112653168
348,422,404611248
348,415,16581156
348,380,223105584
348,361,361251840
348,341,13308564
348,328,4890792
348,324,2814972
348,1112,426300
348,314,2411640
348,304,44637612
348,1098,698784
348,1096,416556
348,1094,196243116
348,296,18527868
348,290,2252256
348,268,16100220
348,258,113632092
348,257,597516
348,243,3061356
348,233,4038803784
348,226,7664700
348,1031,1069404
348,1009,6440784
348,199,6439392
348,181,111303972
348,163,7201512
348,148,16651104
348,147,5308392
348,901,1269852
348,123,5407572
348,120,92568
348,839,75982320
348,99,4740456
348,821,1783152
348,813,188546748
348,73,26168556
348,66,5134272984
348,58,26625828
348,56,1566000
348,54,3015420
348,699,188489328
348,9,3171672
349,645,5311431
349,458,466539710
349,439,4887396
349,366,37546467
349,304,44765881
349,296,18581109
349,226,7686725
349,219,47643386
349,839,76200660
349,99,4754078
349,58,26702339
349,714,33227941
349,15,136857209
351,1310,8950851
351,546,11491740
351,1235,6151977
351,1198,4884867
351,1166,1796418
351,1165,15089490
351,373,258687
351,1129,2655666
351,1101,6704451
351,1000,521586
351,937,80547831
351,92,1289574
351,822,2022462
351,817,110804733
351,802,81350568
352,1140,1514656
353,482,951688
353,69,121746170
354,650,11500044
354,633,9594462
354,570,365421810
354,534,39441972
354,482,954384
354,427,1152624
354,421,5105742
354,407,1083240
354,401,2617476
354,376,2637300
354,367,10694694
354,345,13331640
354,1130,1097400
354,329,60164778
354,320,714726
354,1093,48424722
354,286,53361252
354,259,5004498
354,245,8144832
354,237,285324
354,228,43649970
354,224,3623898
354,209,81887988
354,994,886967178
354,178,11001966
354,176,1184130
354,72,1035096
354,69,122091060
354,755,83964552
354,741,76169118
354,13,2898561204
354,2,3438756
355,1048,28317285
359,1196,3623387
359,1102,69650667
359,1043,963556
359,836,6258806
359,788,272122
361,348,6307753
361,1094,203574037
362,471,785902
362,1301,3088584
362,544,795314
362,1254,5571904
362,1235,6344774
362,452,4328796
362,1198,5037954
362,1129,2738892
362,1122,495578
362,1102,70232706
362,1101,6914562
362,295,1834616
362,275,201272
362,1029,4613690
362,1014,243988
362,937,83072122
362,842,280188
363,500,12092619
363,314,2515590
363,272,292941
363,199,6716952
364,380,233363312
364,362,17194268
366,997,613327428
367,570,378841255
367,534,40890406
367,354,35946916
367,176,1227615
367,741,78966289
368,525,1178336
368,284,8201616
371,341,14188153
371,1094,209213207
371,1001,721595
371,199,6864984
371,73,27898087
372,286,56074536
372,994,932067204
372,72,1087728
372,69,128299080
372,741,80042124
373,1310,9511873
373,1305,440886
373,546,12212020
373,1165,16035270
373,351,496090
373,956,363675
373,937,85596413
373,802,86449464
374,570,386067110
374,534,41670332
374,1041,87958442
374,994,937078318
374,69,128988860
374,741,80472458
374,4,34709818
375,235,196500
375,199,6939000
375,123,5827125
375,813,203175375
375,73,28198875
375,699,203113500
376,570,388131640
376,459,677928
376,440,609120
376,429,475640
376,401,2780144
376,345,14160160
376,286,56677488
376,994,942089432
376,882,595584
376,741,80902792
378,341,14455854
378,314,2619540
378,1094,213160626
378,212,8466066
378,813,204800778
378,699,204738408
381,576,16374999
382,498,3666436
382,439,5349528
382,839,83405880
382,56,1719000
382,699,206904952
385,349,39517170
385,304,49383565
385,296,20497785
386,553,2137668
386,284,8602782
386,239,4180766
386,231,496010
386,36,21361240
386,26,50661728
386,7,1199302
387,645,5889753
387,349,39722454
387,226,8523675
387,869,1890108
387,108,11199780
387,839,84497580
387,753,543735
387,713,7992711
387,15,151758567
388,607,2156504
388,1272,41736772
388,514,308460
388,510,1236168
388,500,12925444
388,1207,195164
388,423,1745612
388,422,451118288
388,398,167616
388,363,211072
388,341,14838284
388,314,2688840
388,303,1754924
388,1094,218799796
388,272,313116
388,268,17950820
388,199,7179552
388,185,540096
388,901,1415812
388,813,210218788
388,76,894728
391,617,664309
391,586,4189956
391,517,1585896
391,515,786692
391,475,473110
391,432,213095
391,416,57868
391,350,662354
391,1098,785128
391,283,656098
391,121,3785271
391,47,352682
392,258,127999368
392,230,3133648
392,69,135196880
393,570,405680145
393,496,539196
393,482,1059528
393,459,708579
393,429,497145
393,427,1279608
393,421,5668239
393,407,1202580
393,376,2927850
393,372,238944
393,345,14800380
393,1130,1218300
393,288,491643
393,286,59240034
393,1041,92426919
393,994,984683901
393,150,2430312
393,72,1149132
397,417,1046095
397,337,12355434
398,500,13258574
398,388,4334220
398,199,7364592
398,813,215636798
399,1308,63264243
399,1185,16929969
399,349,40954158
399,1128,6064002
399,1115,1135155
399,1069,956004
399,1026,8370621
399,998,928074
399,969,93369990
399,952,114912
399,869,1948716
399,813,216178599
399,803,1198197
399,725,90972
399,706,201615897
400,570,412906000
400,286,60295200
400,994,1002222800
400,741,86066800
401,570,413938265
401,555,9925953
401,496,550172
401,482,1081096
401,466,67769
401,459,723003
401,440,649620
401,435,1032976
401,427,1305656
401,421,5783623
401,407,1227060
401,393,94235
401,1171,168019
401,376,2987450
401,372,243808
401,367,12114611
401,354,39277148
401,345,15101660
401,343,43512911
401,1130,1243100
401,331,263056
401,330,2456927
401,329,68152757
401,289,26425098
401,286,60445938
401,237,323206
401,1041,94308383
401,233,4653908958
401,994,1004728357
401,169,47796794
401,80,439496
401,72,1172524
401,69,138300890
401,741,86281967
403,440,652860
403,1130,1249300
403,994,1009739471
403,69,138990670
403,741,86712301
404,609,2127868
404,286,60898152
404,246,1848300
404,154,310676
404,888,361176
404,129,1976368
404,97,641552
404,69,139335560
404,44,1583680
404,29,58984
405,1338,5222880
405,624,4384530
405,1310,10327905
405,1301,3455460
405,1300,2530440
405,1295,62097435
405,544,889785
405,1235,7098435
405,500,13491765
405,233,4700331990
405,1029,5161725
405,978,16382655
405,169,48273570
405,937,92939805
405,151,848070
405,822,2333610
405,817,127851615
405,78,7177005
405,802,93866040
406,362,19178222
406,1102,78769278
406,1080,339010
406,666,451878
407,487,13406173
407,289,26820486
407,286,61350366
407,1041,95719481
407,994,1019761699
407,69,140370230
407,741,87572969
407,4,37772449
408,642,234622032
408,1272,43888152
408,564,1436160
408,560,3654864
408,530,12883008
408,460,2949024
408,451,4375800
408,1168,2173008
408,361,423536640
408,347,1061208
408,341,15603144
408,318,115557024
408,314,2827440
408,296,21722328
408,270,115464
408,268,18876120
408,199,7549632
408,180,1949016
408,167,51195024
408,148,19521984
408,901,1488792
408,123,6339912
408,122,26341704
408,813,221054808
408,73,30680376
408,66,6019492464
408,58,31216488
408,57,467568
408,37,1001482920
410,778,28993150
412,384,907224
412,316,351024
412,248,755608
412,785,14107704
412,671,8424988
413,633,11193539
413,570,426325445
413,534,46015634
413,482,1113448
