node,polarity,fan_size,pos
n_001179,neutral,1567,"(836.000122, -15.705593)"
n_001180,neutral,14817,"(894.103455, 39.398159)"
n_001182,neutral,29094,"(979.602051, 143.17688)"
n_001183,neutral,2248,"(700.08606, 1420.352295)"
n_001184,neutral,6036,"(930.338623, 28.482059)"
n_001186,neutral,325,"(525.652222, 1384.164185)"
n_001188,neutral,65357,"(1.87105, -786.661682)"
n_001189,neutral,1475,"(287.953278, 1350.420776)"
n_001190,neutral,14563,"(981.612122, 234.63887)"
n_001192,neutral,1723,"(1002.011047, 136.434738)"
n_001194,neutral,39913,"(767.509094, 1457.944702)"
n_001195,neutral,3956,"(-3.925532, -740.41748)"
n_001196,neutral,58980,"(1020.909302, 144.642853)"
n_001197,neutral,14196,"(728.67688, 1383.060913)"
n_001199,neutral,14606,"(696.088074, 1380.738892)"
n_0012,neutral,576,"(10560.181641, 25781.25)"
n_001200,neutral,2927,"(971.001587, 12.062451)"
n_001201,neutral,17745,"(750.392456, 1401.435059)"
n_001202,neutral,33744,"(-602.069275, -10.479022)"
n_001203,neutral,237414,"(902.340637, 136.18808)"
n_001204,neutral,3089,"(1031.863647, 192.44342)"
n_001207,neutral,216,"(433.633057, 1341.185425)"
n_001208,neutral,7505,"(967.933838, 83.886429)"
n_001209,neutral,72540,"(-66.549698, -17.122126)"
n_001210,neutral,33718,"(-80.107521, -734.442383)"
n_001212,neutral,93769,"(873.977051, 307.152222)"
n_001213,neutral,3261,"(1032.268066, 100.168808)"
n_001218,neutral,792350,"(941.822754, 246.5056)"
n_001219,neutral,2728,"(1074.468384, 144.54808)"
n_00122,neutral,7958,"(21288.816406, 20974.236328)"
n_001221,neutral,254264,"(811.048584, 1450.352417)"
n_001223,neutral,3376,"(805.499695, 111.456604)"
